Id,Label,Cluster
Yurisa Agustina Samosir,Yurisa Agustina Samosir,4
TRENDING ISSUE,TRENDING ISSUE,4
cakimiNOW,cakimiNOW,0
Hasbi,Hasbi,0
negeri para pembohong,negeri para pembohong,0
Wiranto Aries M,Wiranto Aries M,1
MRobbahNalayudha,MRobbahNalayudha,0
Cecep Kholiludin,Cecep Kholiludin,0
UncleSenkun1,UncleSenkun1,0
Dedy ibnu umar,Dedy ibnu umar,0
doso_10,doso_10,0
Camelaila,Camelaila,0
"Tedyanto, S.T.","Tedyanto, S.T.",0
berisik,berisik,0
Pandawa,Pandawa,6
Ahmad Albani,Ahmad Albani,0
Muhammad Afif,Muhammad Afif,0
Bunga Desa,Bunga Desa,0
ariela,ariela,2
Hendra Al Amin,Hendra Al Amin,0
Roby nathanael,Roby nathanael,0
Hakim Siregar,Hakim Siregar,2
"Dr. Zainun Nasihah, MA","Dr. Zainun Nasihah, MA",0
Romi,Romi,0
Azkya Aryun,Azkya Aryun,0
lele,lele,0
iRil,iRil,0
Bons63,Bons63,0
Nick Siahaan,Nick Siahaan,0
RakyatBiasa,RakyatBiasa,2
mang Ade tea,mang Ade tea,0
Abi,Abi,0
Joel Picard,Joel Picard,0
Thirto,Thirto,0
Kamaluddin Kamal,Kamaluddin Kamal,0
Barisan Relawan Desa AMIN,Barisan Relawan Desa AMIN,0
Zainul Munasichin,Zainul Munasichin,0
PKB SALATIGA,PKB SALATIGA,0
FRAKSI PKB JAKARTA,FRAKSI PKB JAKARTA,0
SAHABAT H. Much Abdul Qodir,SAHABAT H. Much Abdul Qodir,0
Syaiful Huda,Syaiful Huda,0
TOM KUR official,TOM KUR official,0
rans,rans,0
ulil albab,ulil albab,0
G҉O҉ ?M҉I҉L҉,G҉O҉ ?M҉I҉L҉,0
Yasmine Mirzha,Yasmine Mirzha,0
JAMAL BUGIS 7.0,JAMAL BUGIS 7.0,0
didin_darmawan,didin_darmawan,0
Ndon ? ️️️️️️️️️,Ndon ? ️️️️️️️️️,2
Ahmad,Ahmad,0
HelmiHAPP,HelmiHAPP,0
Aher,Aher,0
ichsan fauzi,ichsan fauzi,0
Liat aja X,Liat aja X,2
ri2an,ri2an,0
Suka Dipanggil,Suka Dipanggil,0
Rusliya Ucok,Rusliya Ucok,0
Andi Darwis Syarifuddin,Andi Darwis Syarifuddin,1
Badruzzaman,Badruzzaman,0
siztnong,siztnong,0
Nugelo bae ??,Nugelo bae ??,0
Menuju Perubahan Indonesia Makmur,Menuju Perubahan Indonesia Makmur,0
Anis Fauzan,Anis Fauzan,0
kaka vrindhavan,kaka vrindhavan,0
Umi Ola,Umi Ola,0
Mata Najwa,Mata Najwa,1
ISLAM SAMPAI MATI,ISLAM SAMPAI MATI,0
Eko Rahayu,Eko Rahayu,0
the Yustisia,the Yustisia,0
Hr. wahyu Ns.,Hr. wahyu Ns.,1
Iman Sukri,Iman Sukri,0
Calentivay,Calentivay,0
NihayahCenter,NihayahCenter,0
narkosun,narkosun,4
Penikmat Seblak,Penikmat Seblak,0
Katadata.co.id,Katadata.co.id,2
MHD,MHD,0
Dr. M. Fadjroel Rachman,Dr. M. Fadjroel Rachman,1
??? ??????,??? ??????,0
"yurika_dr,SpMK","yurika_dr,SpMK",0
Dita Indah Sari,Dita Indah Sari,0
Monica,Monica,21
Obed Kresna,Obed Kresna,0
Luluk Hamidah,Luluk Hamidah,0
ABDUL HALIM ISKANDAR,ABDUL HALIM ISKANDAR,0
abracadabra,abracadabra,0
danimeister ??,danimeister ??,0
CNN Indonesia,CNN Indonesia,0
mandor kawat ??,mandor kawat ??,0
Ad Timothy,Ad Timothy,0
ridwan saleh,ridwan saleh,0
Kadang kidding,Kadang kidding,0
Perkasa Alam,Perkasa Alam,0
Levi Firmansyah,Levi Firmansyah,0
Paman,Paman,0
Tri Anggoro Broto,Tri Anggoro Broto,0
Agus Salamun,Agus Salamun,0
Save Nation-NKRI,Save Nation-NKRI,0
budimarwanto06,budimarwanto06,0
??IngetHutang ????,??IngetHutang ????,0
Mucesa,Mucesa,0
iggna,iggna,2
DPC PKB Buru Selatan,DPC PKB Buru Selatan,0
Sigit Widodo,Sigit Widodo,3
cakimiNOWTransl,cakimiNOWTransl,5
Zubed,Zubed,5
Dahnil A Simanjuntak,Dahnil A Simanjuntak,2
cakiminnow,cakiminnow,2
HAPOSAN MANURUNG,HAPOSAN MANURUNG,2
cakiminow,cakiminow,5
Artur e Diana,Artur e Diana,5
BALADAMINSerangBanten,BALADAMINSerangBanten,5
DPC PKB KAB. TEGAL,DPC PKB KAB. TEGAL,5
DPC PKB KAB.KEDIRI,DPC PKB KAB.KEDIRI,5
Mukhit KD,Mukhit KD,5
DPC PKB Temanggung,DPC PKB Temanggung,5
ch_chotimah2,ch_chotimah2,4
coema_coemi,coema_coemi,23
Catatankaqihatilagi,Catatankaqihatilagi,23
defend_id,defend_id,7
descha05,descha05,12
maulana??????,maulana??????,12
dydyaa2,dydyaa2,22
パレスチナとともに立つ,パレスチナとともに立つ,22
fadlizon,fadlizon,21
Haris FZ,Haris FZ,21
feryfarhati,feryfarhati,0
ganjarpr,ganjarpr,6
Bappilu Hanura Official,Bappilu Hanura Official,6
ganjarpranowo,ganjarpranowo,1
Tita,Tita,1
eL. krova,eL. krova,1
AirinNz_KembaliLagi,AirinNz_KembaliLagi,1
??❤??,??❤??,1
Anton Kurniawan,Anton Kurniawan,1
Firza Husain ⤴️,Firza Husain ⤴️,1
BUROQ_1,BUROQ_1,1
Sarwani ?️,Sarwani ?️,1
Candra Asmara,Candra Asmara,1
iNews,iNews,1
kikiyaa,kikiyaa,1
????? ??????,????? ??????,2
NKRI Jaya,NKRI Jaya,1
Yulia,Yulia,1
Raz,Raz,1
@herisan,@herisan,1
Solid,Solid,1
Skidz,Skidz,1
?️ndreas??,?️ndreas??,1
IG: Nong Andah Darol Mahmada,IG: Nong Andah Darol Mahmada,1
Info Jateng,Info Jateng,1
Okezone,Okezone,1
Tℹ️ger Shark,Tℹ️ger Shark,1
Diandra Sari,Diandra Sari,1
Septian Raharjo,Septian Raharjo,8
Teddy Gusnaidi,Teddy Gusnaidi,1
Jeni_Ly again,Jeni_Ly again,1
Beril Huliselan ?? ??,Beril Huliselan ?? ??,1
Muhammad Arbie,Muhammad Arbie,2
Deko,Deko,1
HaHaHiHi ??,HaHaHiHi ??,1
??,??,1
Den Ayoe Nyimas,Den Ayoe Nyimas,1
N3wbed,N3wbed,1
Mohamad Guntur Romli,Mohamad Guntur Romli,1
nephilaXmus,nephilaXmus,2
SeputariNewsRCTI,SeputariNewsRCTI,1
IndonesiaMaju??,IndonesiaMaju??,1
Arsjad Rasjid,Arsjad Rasjid,1
Cyril Raoul Hakim,Cyril Raoul Hakim,1
Jamaah Anfieldiyah,Jamaah Anfieldiyah,1
Sam Pandiangan,Sam Pandiangan,1
Iskandar #,Iskandar #,1
Bonnie Triyana,Bonnie Triyana,1
"#GEAR5 #sungodnika #ONEPIECE #onepiece","#GEAR5 #sungodnika #ONEPIECE #onepiece",1
Nico Valent Dwicahyo,Nico Valent Dwicahyo,1
Faradilla Alfath,Faradilla Alfath,1
Laila Nirmala ,Laila Nirmala ,1
???? ????? ????,???? ????? ????,1
Tanah Airku ??????,Tanah Airku ??????,1
Wanta,Wanta,1
₩₩₩.T@.COM,₩₩₩.T@.COM,1
Joy Boy,Joy Boy,1
Mas,Mas,1
тєкα тєкι ѕιℓαηg,тєкα тєкι ѕιℓαηg,1
kiwi kiwil,kiwi kiwil,1
?Bang Arief?????️,?Bang Arief?????️,1
alpann,alpann,1
Safitri Hariyani S,Safitri Hariyani S,1
Kaka,Kaka,1
satria bumi,satria bumi,1
mas djawir ??????????,mas djawir ??????????,1
starryshi,starryshi,1
weddie | s ?,weddie | s ?,1
Harya,Harya,1
Galih Kadarwinata,Galih Kadarwinata,1
AKU ADALAH AKU,AKU ADALAH AKU,1
M.Tuhasan,M.Tuhasan,1
 ????? ????? ??? ????, ????? ????? ??? ????,1
AMIN.. MENUJU PERUBAHAN,AMIN.. MENUJU PERUBAHAN,1
b3'doel,b3'doel,1
garong_bukan,garong_bukan,5
geloraco,geloraco,19
Elang Bintang,Elang Bintang,19
Muis,Muis,19
gibran_rakabumi,gibran_rakabumi,2
Gerindra Jawa Tengah,Gerindra Jawa Tengah,2
gibran_tweet,gibran_tweet,2
Rian Safio,Rian Safio,2
FADLI ZON (Youtube: Fadli Zon Official),FADLI ZON (Youtube: Fadli Zon Official),2
Cah no,Cah no,2
Didin R,Didin R,2
Malik Fajar Ramadhan,Malik Fajar Ramadhan,2
Ciput??????,Ciput??????,2
Fadhli Erlanda Arlan,Fadhli Erlanda Arlan,2
"Tri Winarno, SST. OT","Tri Winarno, SST. OT",2
Sang Arjuna,Sang Arjuna,2
Raisa Tjokrodinata,Raisa Tjokrodinata,2
Muhammad Eko Prasetyo,Muhammad Eko Prasetyo,2
??#MelawanLupa??,??#MelawanLupa??,3
pengepul meme,pengepul meme,2
helen siagian,helen siagian,3
Sujaji,Sujaji,2
Prabowo - Gibran The Winner ?,Prabowo - Gibran The Winner ?,2
Keliex Tea,Keliex Tea,2
TUKANG MAIDO ⤴️,TUKANG MAIDO ⤴️,2
Golkar Indonesia,Golkar Indonesia,2
Dedek Prayudi - Uki,Dedek Prayudi - Uki,2
Ahmad Jilul Q. Farid,Ahmad Jilul Q. Farid,2
cathy,cathy,2
se_tya,se_tya,2
GP24P,GP24P,2
?? B. Prasetya ??,?? B. Prasetya ??,2
tidakko,tidakko,2
sylvi dewajani,sylvi dewajani,3
Palbapang 2,Palbapang 2,2
Cakraningrat,Cakraningrat,2
Abdullah Rasyid,Abdullah Rasyid,2
Muhammad Amrullah,Muhammad Amrullah,2
SOERYAW4DI,SOERYAW4DI,2
Ario Bayu,Ario Bayu,2
King Faisal,King Faisal,2
Bang Arman,Bang Arman,2
ꦏꦁꦗꦶꦩꦶ,ꦏꦁꦗꦶꦩꦶ,2
Oji,Oji,2
Bahlil Lahadalia,Bahlil Lahadalia,2
pemkot solo,pemkot solo,2
Don Muzakir,Don Muzakir,2
Dedy Nur,Dedy Nur,3
IDN Times,IDN Times,2
@ANAK WAYANG ❤??❤,@ANAK WAYANG ❤??❤,2
Arief Poyuono,Arief Poyuono,2
Rajtar,Rajtar,2
kemang satu,kemang satu,2
BABEH ALDO SEMENTARA DIMARI,BABEH ALDO SEMENTARA DIMARI,2
Latifa W Yantikumala,Latifa W Yantikumala,2
Tukang Kritik Pedas #jokowiperusakdemokrasi,Tukang Kritik Pedas #jokowiperusakdemokrasi,2
gokskilmen,gokskilmen,2
Mulyadi_Adi__,Mulyadi_Adi__,3
asifa,asifa,3
Anak ogi,Anak ogi,3
Satpol PP Kota Surakarta,Satpol PP Kota Surakarta,2
Orang Ulu Borneo,Orang Ulu Borneo,2
Wak 9313,Wak 9313,2
Gibran Rakabuming,Gibran Rakabuming,2
Lee,Lee,2
Bli Saka,Bli Saka,2
Mas Dar,Mas Dar,2
ᴷʰᵃⁱʳᵘᵈᵈⁱⁿ ᴮᵃʳᵇᵃʳᵒˢˢᵃ ( UDIN ),ᴷʰᵃⁱʳᵘᵈᵈⁱⁿ ᴮᵃʳᵇᵃʳᵒˢˢᵃ ( UDIN ),3
Denny Siregar,Denny Siregar,2
Miss Tweet,Miss Tweet,2
Lex Wu,Lex Wu,2
⚔️Bank Joee⚔️,⚔️Bank Joee⚔️,2
Kompas.com,Kompas.com,2
The Darkside,The Darkside,2
Dj mario,Dj mario,2
Tjeloup ™,Tjeloup ™,2
Bumi Nusantara,Bumi Nusantara,2
Aki Tulalit,Aki Tulalit,2
NEGARA GAGAL,NEGARA GAGAL,2
arichels,arichels,2
Bena Aji Satria,Bena Aji Satria,2
Agi Subagio,Agi Subagio,2
Edy sandoval,Edy sandoval,3
chal's,chal's,2
Eko Kuntadhi,Eko Kuntadhi,2
gibran_tweetTra,gibran_tweetTra,5
M Eddy Soeparno,M Eddy Soeparno,5
Partai Gerindra,Partai Gerindra,5
gibrantweet,gibrantweet,2
Shahierd Naim,Shahierd Naim,2
Pedagang Pejuang Indonesia Raya,Pedagang Pejuang Indonesia Raya,2
hasbipkb,hasbipkb,0
imanlagi,imanlagi,6
cahayamata,cahayamata,6
jokowi,jokowi,3
ZULkifli Hasan,ZULkifli Hasan,3
DARKIE ?? #NKRI ??,DARKIE ?? #NKRI ??,3
Dezilix,Dezilix,3
Rizmaya,Rizmaya,3
Ketua Tim Sukses Prabowo Gibran,Ketua Tim Sukses Prabowo Gibran,3
"??Djerry Lim?? NKRI jiwa ragaku,✊","??Djerry Lim?? NKRI jiwa ragaku,✊",3
kaesangp,kaesangp,3
DPP PSI,DPP PSI,3
Vëe ?,Vëe ?,3
kangdede78,kangdede78,3
?????????????™,?????????????™,3
kemendagri,kemendagri,1
keuangannews_id,keuangannews_id,6
Bagusokya,Bagusokya,6
kikysaputrii,kikysaputrii,8
SJYD,SJYD,8
kompascom,kompascom,4
kurawa,kurawa,3
Hanny Indrina,Hanny Indrina,3
Anies Mania,Anies Mania,3
mawardinurullah,mawardinurullah,5
mazzini_gsp,mazzini_gsp,8
ᵐᵃʳˣ ˢʰᵒᵒᵗ ˡᵒʷ,ᵐᵃʳˣ ˢʰᵒᵒᵗ ˡᵒʷ,8
mohmahfudmd,mohmahfudmd,1
mahdi wijaya,mahdi wijaya,1
KotjoNegoro????,KotjoNegoro????,1
Sammy,Sammy,1
thv ?,thv ?,1
nesta suhun,nesta suhun,1
M@D3,M@D3,1
Eka Puspita,Eka Puspita,1
Laode M Syarif,Laode M Syarif,1
bonie,bonie,1
Ambrosius Mulait,Ambrosius Mulait,1
Anak Gagak,Anak Gagak,13
Arnold Belau,Arnold Belau,1
Luthfan - The Destroy World,Luthfan - The Destroy World,1
Ganjar Pranowo,Ganjar Pranowo,1
Hick Matt,Hick Matt,1
Berry Silalahi,Berry Silalahi,1
Thomas Eka Prasetya ??,Thomas Eka Prasetya ??,1
B K Simamora(SGB-Jabar),B K Simamora(SGB-Jabar),1
Jara_Mbojo,Jara_Mbojo,1
Negeri para bedebah..,Negeri para bedebah..,1
Kiki Taufik,Kiki Taufik,1
Rakyat-Jelata,Rakyat-Jelata,1
ErrorBoy,ErrorBoy,1
Kolonials-NKRI?,Kolonials-NKRI?,1
8,8,1
Andy R. Wijaya,Andy R. Wijaya,1
Dianawati Seri,Dianawati Seri,1
Ba Bir,Ba Bir,1
Ruben Diaz,Ruben Diaz,1
Achmad Hidayat.. Lovers... 35,Achmad Hidayat.. Lovers... 35,1
dedy,dedy,1
Hooman,Hooman,1
Ibnu Fatwa,Ibnu Fatwa,1
Prima Sp Vardhana,Prima Sp Vardhana,1
Heni ?? | Free ??,Heni ?? | Free ??,1
Ucok Kalimatua Siregar,Ucok Kalimatua Siregar,1
novel baswedan,novel baswedan,1
Yuni Satia Rahayu,Yuni Satia Rahayu,1
G.Harahap ??,G.Harahap ??,1
Muhammad Farraz,Muhammad Farraz,1
Zink Zank ?,Zink Zank ?,1
hasratsenja,hasratsenja,1
Frans Dipo,Frans Dipo,1
Sangrewok?,Sangrewok?,1
ᴍᵇᵃᵏ ɪⁱˢ ᴡᵃᵉ,ᴍᵇᵃᵏ ɪⁱˢ ᴡᵃᵉ,1
?. ??????? ♂️,?. ??????? ♂️,1
DELIN,DELIN,1
