Id,Label,modularity_class
MasBRO,MasBRO,9
Zainul Munasichin,Zainul Munasichin,9
Bagus Muljadi,Bagus Muljadi,9
Usamah Abdul Aziz,Usamah Abdul Aziz,9
Angger Putranto,Angger Putranto,14
Jibran Najib Sajid,Jibran Najib Sajid,9
Dede Budhyarto,Dede Budhyarto,1
Feri Susanto,Feri Susanto,9
HAJILOS,HAJILOS,9
Andri Munajat,Andri Munajat,1
Erdi Pratama,Erdi Pratama,9
Fahmi,Fahmi,9
Ali Lubis,Ali Lubis,9
Call Me Bur,Call Me Bur,1
Hasbil Mustaqim Lubis,Hasbil Mustaqim Lubis,9
Cut Fadilah,Cut Fadilah,9
Sutami Bakri,Sutami Bakri,9
Rangga,Rangga,9
Anas Ismail,Anas Ismail,1
Indra J Piliang,Indra J Piliang,14
Fauzan Al-Rasyid,Fauzan Al-Rasyid,14
Mazzini,Mazzini,0
UpD,UpD,9
Sir Gun,Sir Gun,9
OLVAH ALHAMID CALON MENTERI AAMIIN3X,OLVAH ALHAMID CALON MENTERI AAMIIN3X,9
Difabilitas NoPecundang,Difabilitas NoPecundang,9
Ubah Bareng,Ubah Bareng,9
kumparan,kumparan,5
tempo.co,tempo.co,14
Dokter Tifa,Dokter Tifa,14
DPN BALAD AMIN,DPN BALAD AMIN,9
Yoel K. Sumitro,Yoel K. Sumitro,9
Lalu Suryade,Lalu Suryade,9
Ronnie H. Rusli. MS. PhD.,Ronnie H. Rusli. MS. PhD.,14
Papa Loren,Papa Loren,9
Rachman Adja,Rachman Adja,9
kang herry z,kang herry z,9
iidideal,iidideal,12
Yanti,Yanti,1
Sergiyuuu,Sergiyuuu,9
Pak D,Pak D,9
Tukang Sayur,Tukang Sayur,9
Dharul Fitrah,Dharul Fitrah,14
Ratna Juwita Sari,Ratna Juwita Sari,9
Pemburu Kecil,Pemburu Kecil,9
MasBRO,MasBRO,9
Dyna Trian Dewi,Dyna Trian Dewi,9
Abdilla,Abdilla,9
Muhammad Assaewad,Muhammad Assaewad,15
Bang Andi Abul Muzaffar,Bang Andi Abul Muzaffar,9
Guinevere,Guinevere,9
DEWO LUCKY,DEWO LUCKY,9
Risky parmana Putra,Risky parmana Putra,9
Jarnas Beraksi,Jarnas Beraksi,9
"Dr Sugih Haryati, SH, M.Kn,""Dr Sugih Haryati, SH, M.Kn"",9"
F_Fathur journalist F3Stragic,F_Fathur journalist F3Stragic,9
iw,iw,9
Hanum Salsabiela Rais,Hanum Salsabiela Rais,14
Imre Nagi AsalBukanPrabowo,Imre Nagi AsalBukanPrabowo,1
nok,nok,9
Fulto,Fulto,9
ET Hadi Saputra,ET Hadi Saputra,1
Gerilyawan Kota,Gerilyawan Kota,9
pradipta rex,pradipta rex,9
coba coba budi,coba coba budi,9
DwiOktariyadi,DwiOktariyadi,9
opooposihsi007,opooposihsi007,9
Dul Kroak,Dul Kroak,9
Anies Mania,Anies Mania,0
Bayo Suti,Bayo Suti,9
The Panturas,The Panturas,14
Taufik Akang,Taufik Akang,9
Gita,Gita,9
Grady Nagara,Grady Nagara,9
Indra Charismiadji,Indra Charismiadji,9
Garda Pemuda NasDem,Garda Pemuda NasDem,9
Ivoox Indonesia,Ivoox Indonesia,9
Imre Nagi,Imre Nagi,9
relawanamin2024,relawanamin2024,12
Master of Puppets,Master of Puppets,9
AREA JULID,AREA JULID,12
Mister Bayam,Mister Bayam,9
Dedy Nur,Dedy Nur,1
La Arpan,La Arpan,9
Republika.co.id,Republika.co.id,12
yshmne,yshmne,9
Ferry Koto,Ferry Koto,9
LilisMbokEwett,LilisMbokEwett,9
aniesbaswedanTr,aniesbaswedanTr,10
Katak Pembina,Katak Pembina,10
ArahSalahBaru,ArahSalahBaru,10
aniesbubble,aniesbubble,12
Kompas.com,Kompas.com,12
nTo,nTo,12
aniesmania,aniesmania,0
bahlillahadalia,bahlillahadalia,4
MuslikhM,MuslikhM,4
basuki_btp,basuki_btp,1
Yunantyo Yas,Yunantyo Yas,1
Fersau D. caltin,Fersau D. caltin,1
Ary Prasetyo,Ary Prasetyo,1
bawaslu_RI,bawaslu_RI,4
kopididid,kopididid,4
banyuwangi.viva.co.id,banyuwangi.viva.co.id,4
MUSTOFA NAHRA,MUSTOFA NAHRA,4
bengkeldodo,bengkeldodo,14
Jihadi Jaksel,Jihadi Jaksel,14
Nana,Nana,14
berlianidris,berlianidris,0
budimandjatmiko,budimandjatmiko,4
Septian Raharjo,Septian Raharjo,4
cakimiNOW,cakimiNOW,9
DPC PKB JEMBER,DPC PKB JEMBER,9
barbut,barbut,9
Idham Arsyad,Idham Arsyad,9
DANIEL JOHAN,DANIEL JOHAN,9
ANTI DINASTI,ANTI DINASTI,9
jenana,jenana,9
Free Palestine,Free Palestine,9
Reggy,Reggy,0
Dimas Fadhil Fikri,Dimas Fadhil Fikri,9
andreas marbun,andreas marbun,14
Ayang Utriza Yakin,Ayang Utriza Yakin,9
Zen RS,Zen RS,14
Fajar Nugros,Fajar Nugros,9
ABDUL HALIM ISKANDAR,ABDUL HALIM ISKANDAR,9
gus cak imiw,gus cak imiw,9
Sutan Mangara Harahap,Sutan Mangara Harahap,9
Mahmud Syaltout,Mahmud Syaltout,9
Rakhmat Gunawan,Rakhmat Gunawan,9
Luluk Hamidah,Luluk Hamidah,9
DPW PKB JAWA TIMUR,DPW PKB JAWA TIMUR,9
janetezÓ,janetezÓ,9
Adam Susanoo,Adam Susanoo,9
bee,bee,9
Zakki,Zakki,9
Rumail Abbas,Rumail Abbas,1
JST,JST,9
TriyanTyan,TriyanTyan,9
Baskara Putra Hindia,Baskara Putra Hindia,9
