Id,Label,modularity_class;
Bijak Memilih,Bijak Memilih,0;
BP™,BP™,6;
Jabar,Jabar,1;
Partai NasDem,Partai NasDem,1;
inilahcom,inilahcom,16;
Marlina mawar,Marlina mawar,1;
Jamaruddin Pajjala,Jamaruddin Pajjala,1;
Merry Banunaek,Merry Banunaek,1;
Neo Historia Indonesia,Neo Historia Indonesia,16;
macanutara_,macanutara_,1;
Relawan Payung Anies Indonesia,Relawan Payung Anies Indonesia,1;
MissKoraL SA ID 0000009,MissKoraL SA ID 0000009,1;
Fadiyah Alkaff,Fadiyah Alkaff,18;
giriginanjar,giriginanjar,1;
Mrs. Kiky,Mrs. Kiky,1;
Gus Arifin,Gus Arifin,1;
Albarra_Back,Albarra_Back,1;
bambang aribowo,bambang aribowo,1;
Uwainun,Uwainun,1;
Herfano,Herfano,1;
Ruth N. Susanto,Ruth N. Susanto,1;
maeve,maeve,1;
DPW PKS Jawa Barat,DPW PKS Jawa Barat,1;
Muhammad Yafidy,Muhammad Yafidy,1;
01 Dena Sapari,01 Dena Sapari,1;
Muhamad Isnur,Muhamad Isnur,1;
vicky anggriawan,vicky anggriawan,1;
Spirit FREE PALESTINE,Spirit FREE PALESTINE,0;
pagandeng,pagandeng,1;
aniesbaswedanTr,aniesbaswedanTr,6;
The Conversation Indonesia,The Conversation Indonesia,6;
anismatta,anismatta,2;
are_inismyname,are_inismyname,20;
bahlillahadalia,bahlillahadalia,6;
Ophalsyah69,Ophalsyah69,6;
balad_aminlpg,balad_aminlpg,11;
DPW Balad Amin Lampung,DPW Balad Amin Lampung,11;
bawaslu_RI,bawaslu_RI,2;
sanusi,sanusi,2;
Bayumaruto,Bayumaruto,2;
Ku Mayaga ni ku mahoro,Ku Mayaga ni ku mahoro,2;
Yurisa Agustina Samosir,Yurisa Agustina Samosir,2;
TRENDING ISSUE,TRENDING ISSUE,2;
cakimiNOW,cakimiNOW,1;
Hasbi,Hasbi,1;
negeri para pembohong,negeri para pembohong,1;
Wiranto Aries M,Wiranto Aries M,19;
MRobbahNalayudha,MRobbahNalayudha,1;
Cecep Kholiludin,Cecep Kholiludin,1;
UncleSenkun1,UncleSenkun1,1;
Dedy ibnu umar,Dedy ibnu umar,1;
doso_10,doso_10,1;
Camelaila,Camelaila,1;
berisik,berisik,1;
Pandawa,Pandawa,13;
Ahmad Albani,Ahmad Albani,1;
Muhammad Afif,Muhammad Afif,1;
Bunga Desa,Bunga Desa,1;
ariela,ariela,19;
Hendra Al Amin,Hendra Al Amin,1;
Roby nathanael,Roby nathanael,1;
Hakim Siregar,Hakim Siregar,16;
"Dr. Zainun Nasihah, MA,""Dr. Zainun Nasihah, MA"",1";
Romi,Romi,1;
Azkya Aryun,Azkya Aryun,1;
lele,lele,1;
iRil,iRil,1;
Bons63,Bons63,1;
Nick Siahaan,Nick Siahaan,1;
RakyatBiasa,RakyatBiasa,16;
mang Ade tea,mang Ade tea,1;
Abi,Abi,1;
Joel Picard,Joel Picard,1;
Thirto,Thirto,1;
Kamaluddin Kamal,Kamaluddin Kamal,1;
Barisan Relawan Desa AMIN,Barisan Relawan Desa AMIN,1;
Zainul Munasichin,Zainul Munasichin,17;
PKB SALATIGA,PKB SALATIGA,1;
FRAKSI PKB JAKARTA,FRAKSI PKB JAKARTA,1;
SAHABAT H. Much Abdul Qodir,SAHABAT H. Much Abdul Qodir,1;
Syaiful Huda,Syaiful Huda,1;
TOM KUR official,TOM KUR official,1;
rans,rans,1;
ulil albab,ulil albab,1;
Yasmine Mirzha,Yasmine Mirzha,1;
JAMAL BUGIS 7.0,JAMAL BUGIS 7.0,1;
didin_darmawan,didin_darmawan,1;
Ndon,Ndon,16;
Ahmad,Ahmad,1;
HelmiHAPP,HelmiHAPP,1;
Aher,Aher,1;
ichsan fauzi,ichsan fauzi,1;
Liat aja X,Liat aja X,19;
ri2an,ri2an,1;
Suka Dipanggil,Suka Dipanggil,1;
Rusliya Ucok,Rusliya Ucok,1;
Andi Darwis Syarifuddin,Andi Darwis Syarifuddin,19;
Badruzzaman,Badruzzaman,1;
siztnong,siztnong,1;
Nugelo bae,Nugelo bae,1;
Menuju Perubahan Indonesia Makmur,Menuju Perubahan Indonesia Makmur,1;
Anis Fauzan,Anis Fauzan,1;
kaka vrindhavan,kaka vrindhavan,1;
Umi Ola,Umi Ola,1;
Mata Najwa,Mata Najwa,19;
ISLAM SAMPAI MATI,ISLAM SAMPAI MATI,1;
Eko Rahayu,Eko Rahayu,1;
the Yustisia,the Yustisia,1;
Hr. wahyu Ns.,Hr. wahyu Ns.,16;
Iman Sukri,Iman Sukri,1;
Calentivay,Calentivay,1;
NihayahCenter,NihayahCenter,1;
narkosun,narkosun,2;
Penikmat Seblak,Penikmat Seblak,1;
Katadata.co.id,Katadata.co.id,0;
MHD,MHD,1;
Dr. M. Fadjroel Rachman,Dr. M. Fadjroel Rachman,19;
"yurika_dr,SpMK,""yurika_dr,SpMK"",1";
Dita Indah Sari,Dita Indah Sari,1;
Monica,Monica,16;
Obed Kresna,Obed Kresna,1;
Luluk Hamidah,Luluk Hamidah,1;
ABDUL HALIM ISKANDAR,ABDUL HALIM ISKANDAR,1;
abracadabra,abracadabra,1;
danimeister,danimeister,1;
CNN Indonesia,CNN Indonesia,1;
mandor kawat,mandor kawat,1;
Ad Timothy,Ad Timothy,1;
ridwan saleh,ridwan saleh,1;
Kadang kidding,Kadang kidding,1;
Perkasa Alam,Perkasa Alam,1;
Levi Firmansyah,Levi Firmansyah,1;
Paman,Paman,1;
Tri Anggoro Broto,Tri Anggoro Broto,1;
Agus Salamun,Agus Salamun,1;
Save Nation-NKRI,Save Nation-NKRI,1;
budimarwanto06,budimarwanto06,1;
IngetHutang,IngetHutang,1;
Mucesa,Mucesa,1;
iggna,iggna,16;
DPC PKB Buru Selatan,DPC PKB Buru Selatan,1;
Sigit Widodo,Sigit Widodo,18;
cakimiNOWTransl,cakimiNOWTransl,17;
Zubed,Zubed,17;
Dahnil A Simanjuntak,Dahnil A Simanjuntak,17;
cakiminnow,cakiminnow,0;
HAPOSAN MANURUNG,HAPOSAN MANURUNG,0;
cakiminow,cakiminow,17;
Artur e Diana,Artur e Diana,17;
BALADAMINSerangBanten,BALADAMINSerangBanten,17;
DPC PKB KAB. TEGAL,DPC PKB KAB. TEGAL,17;
DPC PKB KAB.KEDIRI,DPC PKB KAB.KEDIRI,17;
Mukhit KD,Mukhit KD,17;
DPC PKB Temanggung,DPC PKB Temanggung,17;
ch_chotimah2,ch_chotimah2,2;
coema_coemi,coema_coemi,12;
Catatankaqihatilagi,Catatankaqihatilagi,12;
defend_id,defend_id,18;
descha05,descha05,20;
maulana,maulana,20;
dydyaa2,dydyaa2,0;
fadlizon,fadlizon,16;
Haris FZ,Haris FZ,16;
feryfarhati,feryfarhati,1;
ganjarpr,ganjarpr,13;
Bappilu Hanura Official,Bappilu Hanura Official,13;
ganjarpranowo,ganjarpranowo,14;
Tita,Tita,14;
eL. krova,eL. krova,18;
AirinNz_KembaliLagi,AirinNz_KembaliLagi,14;
Anton Kurniawan,Anton Kurniawan,14;
