Id,Label,modularity_class
Fadiyah Alkaff,Fadiyah Alkaff,19
giriginanjar,giriginanjar,13
Mrs. Kiky,Mrs. Kiky,13
??????,??????,13
Gus Arifin,Gus Arifin,13
Albarra_Back,Albarra_Back,13
???? ????? ?,???? ????? ?,13
bambang aribowo,bambang aribowo,13
Uwainun,Uwainun,13
??????حرفانو | Herfano,??????حرفانو | Herfano,13
Ruth N. Susanto,Ruth N. Susanto,13
maeve,maeve,13
DPW PKS Jawa Barat,DPW PKS Jawa Barat,13
Muhammad Yafidy,Muhammad Yafidy,13
01 Dena Sapari,01 Dena Sapari,13
Muhamad Isnur,Muhamad Isnur,13
vicky anggriawan,vicky anggriawan,13
Spirit FREE PALESTINE ?? ????,Spirit FREE PALESTINE ?? ????,17
pagandeng,pagandeng,13
aniesbaswedanTr,aniesbaswedanTr,19
The Conversation Indonesia,The Conversation Indonesia,19
anismatta,anismatta,11
are_inismyname,are_inismyname,10
bahlillahadalia,bahlillahadalia,11
Ophalsyah69,Ophalsyah69,11
balad_aminlpg,balad_aminlpg,12
DPW Balad Amin Lampung,DPW Balad Amin Lampung,12
bawaslu_RI,bawaslu_RI,11
sanusi,sanusi,11
Bayumaruto,Bayumaruto,11
Ku Mayaga ni ku mahoro,Ku Mayaga ni ku mahoro,11
Yurisa Agustina Samosir,Yurisa Agustina Samosir,11
TRENDING ISSUE,TRENDING ISSUE,11
cakimiNOW,cakimiNOW,13
Hasbi,Hasbi,13
negeri para pembohong,negeri para pembohong,13
Wiranto Aries M,Wiranto Aries M,18
MRobbahNalayudha,MRobbahNalayudha,13
Cecep Kholiludin,Cecep Kholiludin,13
UncleSenkun1,UncleSenkun1,13
Dedy ibnu umar,Dedy ibnu umar,13
doso_10,doso_10,13
Camelaila,Camelaila,13
"Tedyanto, S.T.","Tedyanto, S.T.",13
berisik,berisik,13
Pandawa,Pandawa,1
Ahmad Albani,Ahmad Albani,13
Muhammad Afif,Muhammad Afif,13
Bunga Desa,Bunga Desa,13
ariela,ariela,17
Hendra Al Amin,Hendra Al Amin,13
Roby nathanael,Roby nathanael,13
Hakim Siregar,Hakim Siregar,17
"Dr. Zainun Nasihah, MA","Dr. Zainun Nasihah, MA",13
Romi,Romi,13
Azkya Aryun,Azkya Aryun,13
lele,lele,13
iRil,iRil,13
Bons63,Bons63,13
Nick Siahaan,Nick Siahaan,13
RakyatBiasa,RakyatBiasa,17
mang Ade tea,mang Ade tea,13
Abi,Abi,13
Joel Picard,Joel Picard,13
Thirto,Thirto,13
Kamaluddin Kamal,Kamaluddin Kamal,13
Barisan Relawan Desa AMIN,Barisan Relawan Desa AMIN,13
Zainul Munasichin,Zainul Munasichin,14
PKB SALATIGA,PKB SALATIGA,13
FRAKSI PKB JAKARTA,FRAKSI PKB JAKARTA,13
SAHABAT H. Much Abdul Qodir,SAHABAT H. Much Abdul Qodir,13
Syaiful Huda,Syaiful Huda,13
TOM KUR official,TOM KUR official,13
rans,rans,13
ulil albab,ulil albab,13
G҉O҉ ?M҉I҉L҉,G҉O҉ ?M҉I҉L҉,13
Yasmine Mirzha,Yasmine Mirzha,13
JAMAL BUGIS 7.0,JAMAL BUGIS 7.0,13
didin_darmawan,didin_darmawan,13
Ndon ? ️️️️️️️️️,Ndon ? ️️️️️️️️️,17
Ahmad,Ahmad,13
HelmiHAPP,HelmiHAPP,13
Aher,Aher,13
ichsan fauzi,ichsan fauzi,13
Liat aja X,Liat aja X,17
ri2an,ri2an,13
Suka Dipanggil,Suka Dipanggil,13
Rusliya Ucok,Rusliya Ucok,13
Andi Darwis Syarifuddin,Andi Darwis Syarifuddin,18
Badruzzaman,Badruzzaman,13
siztnong,siztnong,13
Nugelo bae ??,Nugelo bae ??,13
Menuju Perubahan Indonesia Makmur,Menuju Perubahan Indonesia Makmur,13
Anis Fauzan,Anis Fauzan,13
kaka vrindhavan,kaka vrindhavan,13
Umi Ola,Umi Ola,13
Mata Najwa,Mata Najwa,18
ISLAM SAMPAI MATI,ISLAM SAMPAI MATI,13
Eko Rahayu,Eko Rahayu,13
the Yustisia,the Yustisia,13
Hr. wahyu Ns.,Hr. wahyu Ns.,0
Iman Sukri,Iman Sukri,13
Calentivay,Calentivay,13
NihayahCenter,NihayahCenter,13
narkosun,narkosun,19
Penikmat Seblak,Penikmat Seblak,13
Katadata.co.id,Katadata.co.id,17
MHD,MHD,13
Dr. M. Fadjroel Rachman,Dr. M. Fadjroel Rachman,18
??? ??????,??? ??????,13
"yurika_dr,SpMK","yurika_dr,SpMK",13
Dita Indah Sari,Dita Indah Sari,13
Monica,Monica,17
Obed Kresna,Obed Kresna,13
Luluk Hamidah,Luluk Hamidah,13
ABDUL HALIM ISKANDAR,ABDUL HALIM ISKANDAR,13
abracadabra,abracadabra,13
danimeister ??,danimeister ??,13
CNN Indonesia,CNN Indonesia,13
mandor kawat ??,mandor kawat ??,13
Ad Timothy,Ad Timothy,13
ridwan saleh,ridwan saleh,13
Kadang kidding,Kadang kidding,13
Perkasa Alam,Perkasa Alam,13
Levi Firmansyah,Levi Firmansyah,13
Paman,Paman,13
Tri Anggoro Broto,Tri Anggoro Broto,13
Agus Salamun,Agus Salamun,13
Save Nation-NKRI,Save Nation-NKRI,13
budimarwanto06,budimarwanto06,13
